Experiment 1:
--------------------BST first() with sorted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	3772E1	|	2838E0		3772E-3		2838E-4		3771E-7		-5185E-8
20000	3437E1	|	2406E0		1719E-3		1203E-4		8593E-8		-2255E-8
30000	3175E1	|	2135E0		1058E-3		7117E-5		3528E-8		1730E-8
40000	2982E1	|	1951E0		7456E-4		4877E-5		1864E-8		4308E-8
50000	2854E1	|	1828E0		5708E-4		3657E-5		-1590E-8		-3919E-8
60000	2946E1	|	1856E0		4910E-4		3093E-5		-4239E-8		1637E-8
70000	2802E1	|	1741E0		4003E-4		2487E-5		4631E-8		-7311E-8
80000	2996E1	|	1840E0		3745E-4		2299E-5		1423E-8		2409E-8
90000	2918E1	|	1773E0		3243E-4		1970E-5		-5957E-8		-1475E-8
100000	2945E1	|	1773E0		2945E-4		1773E-5		2088E-8		-1924E-8
110000	2834E1	|	1692E0		2576E-4		1538E-5		-3611E-8		-1596E-8
120000	2862E1	|	1696E0		2385E-4		1413E-5		1889E-8		1892E-8
130000	2890E1	|	1701E0		2223E-4		1309E-5		-1033E-7		-8867E-8
140000	2838E1	|	1660E0		2027E-4		1186E-5		-1514E-8		2309E-8
150000	3076E1	|	1789E0		2051E-4		1193E-5		3001E-8		1696E-8
160000	2874E1	|	1662E0		1796E-4		1039E-5		-1692E-7		2115E-8
170000	2904E1	|	1671E0		1708E-4		9832E-6		-2493E-8		-1417E-7
180000	2979E1	|	1707E0		1655E-4		9481E-6		-1520E-8		2211E-8
190000	2897E1	|	1652E0		1525E-4		8695E-6		1665E-8		1753E-8
200000	2862E1	|	1625E0		1431E-4		8126E-6		2127E-8		4465E-8
--------------------BST first() with permuted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	1113E0	|	8376E-2		1113E-4		8376E-6		1113E-8		-1530E-9
20000	7810E-1	|	5466E-2		3905E-5		2733E-6		1952E-9		-5124E-10
30000	8360E-1	|	5621E-2		2787E-5		1874E-6		9289E-10		4554E-10
40000	3150E-1	|	2060E-2		7875E-6		5151E-7		1969E-10		4550E-10
50000	8720E-1	|	5586E-2		1744E-5		1117E-6		-4858E-10		-1198E-9
60000	4810E-1	|	3030E-2		8017E-6		5051E-7		-6921E-10		2673E-10
70000	6710E-1	|	4169E-2		9586E-6		5956E-7		1109E-9		-1751E-9
80000	5090E-1	|	3125E-2		6363E-6		3906E-7		2418E-10		4093E-10
90000	5050E-1	|	3068E-2		5611E-6		3409E-7		-1031E-9		-2552E-10
100000	6270E-1	|	3775E-2		6270E-6		3775E-7		4447E-10		-4097E-10
110000	6590E-1	|	3935E-2		5991E-6		3577E-7		-8396E-10		-3712E-10
120000	7300E-1	|	4327E-2		6083E-6		3605E-7		4818E-10		4825E-10
130000	6470E-1	|	3809E-2		4977E-6		2930E-7		-2312E-9		-1985E-9
140000	6270E-1	|	3668E-2		4479E-6		2620E-7		-3344E-10		5101E-10
150000	7340E-1	|	4269E-2		4893E-6		2846E-7		7160E-10		4047E-10
160000	6550E-1	|	3789E-2		4094E-6		2368E-7		-3857E-9		4820E-10
170000	6790E-1	|	3908E-2		3994E-6		2299E-7		-5829E-10		-3312E-9
180000	8210E-1	|	4703E-2		4561E-6		2613E-7		-4189E-10		6092E-10
190000	8090E-1	|	4613E-2		4258E-6		2428E-7		4649E-10		4895E-10
200000	7610E-1	|	4321E-2		3805E-6		2161E-7		5657E-10		1187E-9

Experiment 2:
--------------------BST last() with sorted order input--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
